City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Aktas,KZ,49.7789,72.9608,33.8,93,90,20.13,overcast clouds
123,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,5.75,clear sky
124,Constancia,MX,24.2231,-107.1869,78.01,57,24,5.99,few clouds
125,Aquiraz,BR,-3.9014,-38.3911,77.0,88,75,2.3,broken clouds
126,Alim,PH,9.5649,122.4876,82.27,69,87,9.82,overcast clouds
127,Ostrovnoy,RU,68.0531,39.5131,21.25,89,38,19.04,scattered clouds
128,Bambous Virieux,MU,-20.3428,57.7575,77.0,83,20,2.3,few clouds
129,Husavik,IS,66.0449,-17.3389,17.6,62,75,4.61,light snow
130,Kodiak,US,57.79,-152.4072,37.4,48,90,8.05,overcast clouds
131,Ribeira Grande,PT,38.5167,-28.7,57.72,60,26,5.79,scattered clouds
132,Vallenar,CL,-28.5708,-70.7581,70.74,45,0,3.24,clear sky
133,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,9.22,few clouds
134,Pevek,RU,69.7008,170.3133,-20.0,93,82,5.1,broken clouds
135,The Valley,AI,18.217,-63.0578,78.8,73,20,12.66,few clouds
136,Hasaki,JP,35.7333,140.8333,54.0,57,20,3.44,few clouds
137,Sydney,AU,-33.8679,151.2073,73.99,56,0,9.22,clear sky
138,Carauari,BR,-4.8828,-66.8958,74.73,95,96,1.3,overcast clouds
139,Perugia,IT,43.05,12.55,52.0,82,75,4.61,broken clouds
140,Bilibino,RU,68.0546,166.4372,-10.25,90,95,1.72,overcast clouds
141,Lagoa,PT,39.05,-27.9833,56.79,61,48,7.74,scattered clouds
142,Badnawar,IN,23.0167,75.2167,68.0,37,0,3.44,clear sky
143,Srednekolymsk,RU,67.45,153.6833,-1.37,80,41,4.59,scattered clouds
144,Tasiilaq,GL,65.6145,-37.6368,6.8,51,75,10.36,broken clouds
145,Purepero,MX,19.9167,-102.0167,78.8,31,75,6.91,broken clouds
146,Cornwall,CA,45.0181,-74.7281,41.0,87,90,12.66,overcast clouds
147,Vila Velha,BR,-20.3297,-40.2925,78.8,78,0,5.75,clear sky
148,Atasu,KZ,48.6814,71.6433,34.07,99,100,9.82,overcast clouds
149,Hays,US,30.0502,-98.0336,84.2,30,1,13.8,clear sky
150,Alice Springs,AU,-23.7,133.8833,87.01,64,33,9.62,scattered clouds
151,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,49,90,3.44,overcast clouds
152,Fortuna,US,40.5982,-124.1573,57.0,62,1,16.11,clear sky
153,Kaitangata,NZ,-46.2817,169.8464,64.0,70,91,3.0,overcast clouds
154,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,40,6.91,scattered clouds
155,Zhezkazgan,KZ,47.8043,67.7144,34.16,96,100,4.81,overcast clouds
156,Oktyabrskoye,RU,43.0645,44.7417,39.2,81,97,6.71,overcast clouds
157,Luba,GQ,3.4568,8.5547,78.8,100,20,3.44,light rain
158,Camocim,BR,-2.9022,-40.8411,74.97,89,94,7.05,overcast clouds
