City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Abu Dhabi,AE,80.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
460,Bathsheba,BB,78.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
462,Grand Gaube,MU,75.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
464,Point Pedro,LK,80.98,overcast clouds,9.8167,80.2333,Gtr homes
465,Naze,JP,68.0,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
469,Zabid,YE,76.28,few clouds,14.1951,43.3152,دار الضيافة
470,Christchurch,NZ,73.0,broken clouds,-43.5333,172.6333,The George
472,Mwense,ZM,65.43,overcast clouds,-10.3845,28.698,Mwense Council Guest House
475,Beira,MZ,73.78,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
476,Andros Town,BS,78.8,few clouds,24.7,-77.7667,Hanks place
478,Ipameri,BR,68.63,broken clouds,-17.7219,-48.1597,Real Hotel
480,Kokopo,PG,85.21,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
483,Batemans Bay,AU,68.0,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
484,Kanigiri,IN,74.61,few clouds,15.4,79.5167,Khasim kollafaram center
485,Ampanihy,MG,70.39,clear sky,-24.7,44.75,Angora Hotel
489,Ulladulla,AU,70.0,clear sky,-35.35,150.4667,Sandpiper Motel
490,Kaeo,NZ,69.01,light rain,-35.1,173.7833,Bushido Lodge
492,Bowen,AU,84.2,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
493,Port Keats,AU,83.48,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
496,Taltal,CL,66.4,few clouds,-25.4,-70.4833,Residencial Karime
497,Kavaratti,IN,82.56,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
499,Bubaque,GW,76.37,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
500,Cua,VE,80.6,scattered clouds,10.1589,-66.8858,Agropecuaria Amparo del Altísimo
504,Sinnar,SD,85.3,overcast clouds,13.5691,33.5672,هجو الطاهر
506,Paranaiba,BR,79.88,broken clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
508,Morro Bay,US,66.0,clear sky,35.3658,-120.8499,Inn at Morro Bay
510,Balurghat,IN,69.58,clear sky,25.2167,88.7667,"Circuit House, Balurghat"
511,Santa Cruz,BO,78.8,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
512,Cilegon,ID,78.8,haze,-6.0174,106.0538,Amaris Hotel Cilegon
514,Santa Maria,BR,73.4,moderate rain,-29.6842,-53.8069,Hotel Morotin
515,Ratangarh,IN,76.15,clear sky,28.0833,74.6,Hotel Shri Laxmi Palace
517,Phan Thiet,VN,78.19,broken clouds,10.9333,108.1,Hotel Saigon-PT
522,Tabou,CI,78.21,clear sky,4.423,-7.3528,hotêl doufoulougou
